gene	RK10.3	RK11.3	RK12.2	RK12.3	RK7.1	RK7.2	RK8.1	RK8.2	RK2.1	RK2.2	RK3.1	RK3.2	RK4.1	RK4.2	RK6.1	RK6.2
ENSRNOG00000000247	22.09	20.41	19.54	22.99	23.09	22.8	23.18	25.45	19.02	22.67	19.38	21.95	21.99	26.86	20.4	25.89
ENSRNOG00000000248	61.15	61	71.39	67.03	118.49	111.63	107.07	115.55	74.14	86.73	77.96	80.81	101.26	127.7	113.88	127.64
ENSRNOG00000000249	13.32	17.2	15.53	14.72	11.23	12.6	10.5	12.86	16.99	20.25	13.25	17.48	13.5	10.65	16.85	14.9
ENSRNOG00000000250	12.33	12.14	10.51	11.34	12.43	11.63	14.46	14.96	13.51	10.02	13.97	11.68	12.56	12.53	14.95	16.93
ENSRNOG00000000251	0	0	0	0	0	0.27	0.37	0.06	0.06	0	0.11	0	0.41	0	0.13	0.14
ENSRNOG00000000252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000257	0.2	0.13	0.03	0.13	0.24	0.31	0.34	0.14	0.14	0.16	0.15	0.34	0.44	0.41	0.37	0.71
ENSRNOG00000000258	6.88	5.14	6.7	8.95	12.47	10.85	11.08	9.74	7.31	8.96	6.6	6.81	11.6	10.81	11.11	9.9
ENSRNOG00000000262	6.25	5.07	5.81	4.6	7.37	5.43	11.16	6.97	5.97	6.83	8.7	8.11	6.25	6.63	7.65	6.29
ENSRNOG00000000264	36	39.51	47.34	44.48	32.35	33.62	27.47	35.96	40.62	46.16	36.38	38.8	35.86	39.64	38.47	38.12
ENSRNOG00000000274	18.9	20.78	18.87	25.78	27.23	25.06	20.81	19.48	16	16.53	14.17	14.55	23.59	27	16.06	28.62
ENSRNOG00000000275	0.18	0.65	0.09	0.58	0.28	1.33	0.55	0.27	0.09	0.34	0.47	0	0.59	0.09	0.46	0.51
ENSRNOG00000000277	0	0	0.07	0	0.08	0.08	0.02	0	0.05	0.05	0	0.05	0.13	0.12	0.1	0.14
ENSRNOG00000000279	5.86	8.59	8.03	9.41	7.89	11.16	8.39	11.79	10.57	9.15	8.51	9.22	8.38	13.97	9.88	11.06
ENSRNOG00000000281	32.52	30.07	27.4	40.95	25.57	28.47	21.62	28.94	25.3	32.5	20.6	27.15	28.44	27.07	46.1	26.17
ENSRNOG00000000282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000283	7.5	5.7	7.44	6.4	10.25	11.22	8.33	8.89	7.55	9.39	7.56	8.14	7.82	10.12	7.83	9.85
ENSRNOG00000000288	3.94	3.25	4.35	3.04	8.02	7.83	14.46	8.89	3.96	4.91	4.86	5.05	8.15	7.49	8.19	8.29
ENSRNOG00000000299	7.7	6.26	8.24	8.77	13.07	10.17	4.41	14.91	7.21	10.96	5.64	5.6	11.12	11.37	10.79	8.97
ENSRNOG00000000302	20.41	11.57	15.39	13.96	10.73	16.65	12.82	15.75	19.57	14.89	13.63	12.85	11.11	14.44	15.39	18.17
ENSRNOG00000000303	2.73	3.15	1.97	3.48	6.34	7.51	9.7	7.04	3.21	3.21	4.54	4.47	6.66	7.12	5.59	6.91
ENSRNOG00000000304	147.03	180.05	169.02	206.67	221.44	197.88	216.59	197.59	182.59	174.87	161.48	161.51	237.14	230	204.96	223.31
ENSRNOG00000000306	17.79	14.37	14.68	18.82	17.08	12.11	15.37	15.12	14.02	18.01	16.44	16.29	13.89	14.2	14.78	14.67
ENSRNOG00000000307	0.76	0.58	0.84	1.61	2.35	3.58	2.76	3.2	1.33	1.79	1.18	1.96	2.14	4.6	3.42	3.74
ENSRNOG00000000308	1.54	1.15	1.91	1.69	2.69	1.71	3.24	2.36	2.13	2.6	1.89	1.83	2.55	2.31	2.82	2.82
ENSRNOG00000000312	9.32	11.62	11.82	12.32	13.88	12.42	9.64	11.23	11.32	12.51	10.56	12.39	13.49	11.99	13.02	11.55
ENSRNOG00000000314	27.99	28.7	28.15	36.3	42.51	35.58	31.72	35.99	31.01	34.66	25.45	24.96	39.42	42.74	42.09	44.37
ENSRNOG00000000316	0.24	0.11	0.06	0	0.06	0.19	0.12	0.24	0.06	0	0	0.17	0	0	0.56	0.17
ENSRNOG00000000320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000321	69.76	63.96	54.97	74.05	290.49	239.06	399.5	226.14	131.64	130.61	110.12	117.13	321.41	327.1	221.52	303.84
ENSRNOG00000000322	19.22	17.75	18.04	20.26	19.14	19.83	25.57	24.27	19.7	19.89	22.26	22.96	23.24	20.27	23.45	21.89
ENSRNOG00000000323	0.14	0.66	0.29	0.37	0.92	0.87	0.97	0.97	0.61	0.29	0.66	0.31	0.73	0.8	0.57	0.85
ENSRNOG00000000327	1.09	1.66	1.65	2.18	5.56	5.3	3.06	3.86	2.73	2.91	1.9	2.57	4.03	5.04	5.26	3.67
ENSRNOG00000000335	0.09	0	0	0	0.09	0	0	0	0	0	0	0	0	0.09	0	0
ENSRNOG00000000340	165.86	175.76	153.92	171.39	179.24	180.67	201.87	168.22	169.33	171.75	161.3	172.49	180.07	184.48	181.12	207.37
ENSRNOG00000000341	10.87	8.57	8.93	10.66	17.95	16.8	12.95	17.84	13.97	15.09	9.2	9.01	18.29	21.04	18.35	18.17
ENSRNOG00000000345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6
ENSRNOG00000000368	0.45	0.44	0.99	0.36	3.44	2.22	3.84	1.28	0.92	0.88	0.73	0.51	2.24	1.93	1.3	3.06
ENSRNOG00000000373	1.1	0.63	0.96	1.59	0.62	0.64	0.98	0.7	1.57	0.94	0.79	0.59	0.53	0.91	0.94	0.57
ENSRNOG00000000376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000378	0.42	0.66	0.2	0.1	0.11	0.33	0.2	0.21	0	0.2	0.55	0.31	0.33	0.11	0.22	0.6
ENSRNOG00000000383	0.14	0.35	0.28	0.33	0	0.26	0.15	0.12	0.03	0.17	0.08	0.03	0.21	0.09	0.13	0.09
ENSRNOG00000000384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000386	226.89	215.26	202.78	231.11	177.88	177.98	119.6	163.9	209.68	211.27	169.02	183.33	164.49	140.06	171.18	138.69
ENSRNOG00000000387	9.74	10.04	13.5	14.13	14.43	14.9	11.98	14.3	11.66	12.24	9.25	9.81	16.99	14.38	15.83	13.33
ENSRNOG00000000390	1.41	0.92	1.94	1.98	2.02	1.6	1.08	1.63	0.91	1.88	0.77	0.96	2.03	2.81	1.29	2.02
ENSRNOG00000000392	24.8	19.4	20.53	21.78	24.49	20.89	14.74	22.23	19.36	26.09	18.36	19.56	21.3	19.03	21.66	25.06
ENSRNOG00000000394	29.15	25.94	28.3	24.83	33.13	39.6	34.65	35.58	22.75	21.65	24.67	25.75	31.2	27.43	37.75	22.84
ENSRNOG00000000395	23.22	26.57	26.68	30.14	30.17	23.36	19.67	28.69	27.2	29.33	21.33	25.79	24.67	25.24	28	21.51
ENSRNOG00000000396	23.13	18	17.78	19.86	28.17	23.32	29.75	31.58	21.59	21.45	19.23	17.33	21.18	27.01	25.53	29.21
ENSRNOG00000000397	14.9	14.15	13.44	17.1	20.78	19.51	16.74	20.68	16.69	19.79	14	15.32	19.4	18.72	19	19.01
ENSRNOG00000000398	5.25	4.98	4.63	5.19	6.37	8.76	6.88	7.58	6.31	6.73	6.03	6.18	7.89	7.11	7.54	6.04
ENSRNOG00000000401	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0
ENSRNOG00000000405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000406	1.87	1.53	0.86	0.72	2.37	2.93	2.06	3.67	5.27	1.28	2.38	0.81	0.79	1.7	1.4	1.21
ENSRNOG00000000407	10.83	7.64	6.81	7.98	10.79	11.82	9.61	15.5	9.34	12.62	6.52	11.43	10.15	11.48	12.07	11.33
ENSRNOG00000000408	8.75	11.75	9.05	12.61	12.77	13.03	11.17	11.64	12.28	12.14	9.75	10.04	11.52	12.69	14.87	11.81
ENSRNOG00000000410	0.09	0	0	0	0.29	0	0	0	0.09	0	0.08	0	0	0	0	0
ENSRNOG00000000411	19.44	18.94	18.73	20.73	24.19	21.71	24.64	25.84	18.74	19.87	16.39	18.02	27.12	22.92	22.59	23.07
ENSRNOG00000000412	0.43	0.82	0.62	1.41	1.06	0.65	0.32	0.4	1.14	0.72	0.19	0.21	0.47	0.69	0.61	1.14
ENSRNOG00000000413	0.55	1	0.2	0.64	0.79	0.96	0.74	0.55	2.17	0.85	1.03	0.95	1.11	0.49	1.3	1.09
ENSRNOG00000000414	0.17	0.29	0.55	0.34	1.45	0.51	0.31	0.52	0.68	0.6	0.46	0.41	0.85	1.8	1.15	0.64
ENSRNOG00000000415	14.16	16.44	12.2	11.93	19.89	15.48	22.85	21.27	16.65	13.61	15.15	14.01	17.54	18.34	16.92	18.09
ENSRNOG00000000417	12.19	9.6	10.78	13.53	22.53	18.56	15.88	21.22	14.75	15.81	10.54	11.65	17.39	21.6	19.86	17.06
ENSRNOG00000000418	2.25	2.63	1.59	2.39	3.96	3.96	5.27	5.51	2.96	2.91	3.25	3.55	3.38	5.05	5.59	5.19
ENSRNOG00000000419	0.16	0.87	0	0.56	0.91	0	0	0	0.38	0.11	0.82	1.13	1.48	0.39	1.32	0
ENSRNOG00000000420	26.99	30.23	26.83	29.38	37.69	27.64	44.51	34.75	29.6	31.46	27.82	34.21	34.59	41.28	39.57	36.54
ENSRNOG00000000421	16.16	16.46	13.79	16.71	20.52	18.27	16.06	19.38	16.37	16.95	14.43	17.26	19.59	18.5	19.19	19
ENSRNOG00000000422	13.05	12.74	10.37	9.77	13.13	16.78	14.31	14.75	12.69	12.11	12.11	8.58	11.9	15.92	13.03	12.78
ENSRNOG00000000423	6.46	7.51	7.83	10.83	13.59	10.5	22.47	11.35	11.14	7.25	14.25	17.52	13.12	12.6	10.56	11.56
ENSRNOG00000000428	0.24	0.81	0.15	0.83	0.84	0.95	1.3	0.48	0.4	0.23	0.42	0.24	0.43	0.08	0.25	0.92
ENSRNOG00000000431	23.49	25.28	36.57	29	37.61	38.88	40.94	44.9	37.18	37.19	23.14	33.4	34.54	42.29	48.68	47.19
ENSRNOG00000000432	9.56	11.31	12.61	10.07	13.04	12.67	11.14	9.8	12.38	12.81	11.89	13.87	10.01	8.83	9.35	12.5
