Symbol	Vehicle_2_36_norm
5430417L22Rik	9.954920374
5430419D17Rik	7.464285255
5430421F17Rik	7.707398967
5430427O19Rik	7.149189194
5430435G22Rik	7.895214127
5530601H04Rik	7.935291567
5730455P16Rik	10.3869167
5730480H06Rik	6.464285255
5730507C01Rik	8.263782777
5730508B09Rik	8.71892522
5730559C18Rik	10.76413085
5830415F09Rik	8.079367744
5830417I10Rik	9.55282193
5830418K08Rik	9.695779884
5830454E08Rik	8.210353057
5830473C10Rik	5.915392009
5930403L14Rik	10.33792405
5930412G12Rik	6.941864221
5930438M14Rik	6.569895443
6030419C18Rik	7.797129128
6030458C11Rik	10.14207179
6330408A02Rik	8.752961544
6330410L21Rik	4.915392009
6330416G13Rik	9.838224149
6330549D23Rik	8.043147557
6430548M08Rik	8.738669672
6430550D23Rik	6.55282193
6430571L13Rik	6.369957873
6430573F11Rik	7.839984607
6530402F18Rik	8.221200439
6720468P15Rik	9.5442088
6820431F20Rik	13.09548534
8030462N17Rik	9.193927509
8430408G22Rik	2.321468555
8430419L09Rik	10.73036012
8430429K09Rik	7.078545892
9030025P20Rik	8.59929636
9030617O03Rik	11.45913991
9030619P08Rik	6.699663318
9030624G23Rik	6.586769262
9030624J02Rik	11.82761605
9130008F23Rik	5.888424962
9130011E15Rik	9.775214351
9130019O22Rik	7.660350394
9130023H24Rik	8.289787524
9130024F11Rik	4.915392009
9130221H12Rik	8.360176852
9130401M01Rik	9.636237938
9230102O04Rik	5.915392009
9230105E05Rik	5.408432021
9230110C19Rik	8.703536327
9230114K14Rik	7.043147557
9330020H09Rik	6.55282193
9330133O14Rik	7.707398967
9330151L19Rik	7.941864221
9430008C03Rik	8.421733973
9430015G10Rik	9.055309536
9430016H08Rik	9.964635528
9430020K01Rik	9.672257161
9430038I01Rik	7.091241845
9430041J12Rik	6.81871599
9430083A17Rik	6.043147557
9430091E24Rik	7.28975072
9530026F06Rik	5.915392009
9530053A07Rik	7.509232661
9530068E07Rik	13.39202572
9530077C05Rik	7.535543939
9530082P21Rik	10.57095586
9630033F20Rik	9.088282469
9830147E19Rik	8.284625819
9930012K11Rik	6.831194421
9930014A18Rik	7.888424962
9930021J03Rik	10.72846058
9930104L06Rik	8.137784431
9930111J21Rik1	8.199423496
A130010J15Rik	8.9656885
A130077B15Rik	10.96221287
A1cf	9.839984607
A230046K03Rik	11.53282546
A230050P20Rik	9.930342351
A2m	8.931993977
A330021E22Rik	9.464285255
A330023F24Rik	8.636237938
A330032B11Rik	6.482432602
A330033J07Rik	5.55282193
A330035P11Rik	7.079367744
A330040F15Rik	7.41789235
A430005L14Rik	9.943055546
A430033K04Rik	8.398909246
A430035B10Rik	5.967859429
A430078G23Rik	7.804360697
A430089I19Rik	7.41789235
A430105I19Rik	9.213072558
A430107P09Rik	6.586769262
A4galt	10.90698363
A4gnt	6.464285255
