Reporter Identifier	T00275905 normalised intensity	T00275905 quality flag
GE1105433	0.938	GOOD
GE1105438	12.422	GOOD
GE1105443	6.143	GOOD
GE1105445	12.92	GOOD
GE1105456	20.247	GOOD
GE1105472	6.016	GOOD
GE1105475	0.12	EMPTY
GE1105479	0.407	EMPTY
GE1105483	0.556	GOOD
GE1105486	4.482	GOOD
GE1105505	0.416	GOOD
GE1105508	11.71	GOOD
GE1105542	0.29	EMPTY
GE1105553	0.161	EMPTY
GE1105558	0.311	EMPTY
GE1105562	0.13	EMPTY
GE1105583	6.238	GOOD
GE1105592	0.153	EMPTY
GE1105595	0.211	EMPTY
GE1105600	0.195	EMPTY
GE1105607	0.092	EMPTY
GE1105608	0.771	GOOD
GE1105614	1.729	GOOD
GE1105647	0.404	EMPTY
GE1105653	8.404	GOOD
GE1105654	1.277	GOOD
GE1105673	0.337	EMPTY
GE1105681	0.268	EMPTY
GE1105692	0.194	EMPTY
GE1105693	3.318	GOOD
GE1105694	0.108	EMPTY
GE1105697	0.161	EMPTY
GE1105700	1.244	GOOD
GE1105710	43.547	GOOD
GE1105712	0.083	EMPTY
GE1105739	3.715	GOOD
GE1105748	18.056	GOOD
GE1105754	0.984	GOOD
GE1105756	0.205	EMPTY
GE1105768	0.755	GOOD
GE1105779	1.751	GOOD
GE1105782	3.432	GOOD
GE1105784	0.163	EMPTY
GE1105810	9.583	GOOD
GE1105811	0.062	EMPTY
GE1105814	0.154	EMPTY
GE1105832	0.191	EMPTY
GE1105835	3.387	GOOD
GE1105853	0.123	EMPTY
GE1105855	0.83	GOOD
GE1105860	3.762	GOOD
GE1105875	2.052	GOOD
GE1105878	0.176	EMPTY
GE1105885	0.152	EMPTY
GE1105887	0.097	EMPTY
GE1105900	3.229	GOOD
GE1105904	0.131	EMPTY
GE1105914	3.131	GOOD
GE1105944	15.219	GOOD
GE1105945	0.601	GOOD
GE1105980	0.4	EMPTY
GE1105989	0.197	EMPTY
GE1105994	10.185	GOOD
GE1106001	1.068	GOOD
GE1106011	0.059	EMPTY
GE1106029	0.176	EMPTY
GE1106030	0.088	EMPTY
GE1106034	0.246	EMPTY
GE1106054	0.287	EMPTY
GE1106069	0.237	EMPTY
GE1106080	9.169	GOOD
GE1106081	1.193	GOOD
GE1106085	2.34	GOOD
GE1106091	0.312	EMPTY
GE1106105	0.259	EMPTY
GE1106113	0.693	GOOD
GE1106119	1.188	GOOD
GE1106120	0.067	EMPTY
GE1106134	0.869	GOOD
GE1106136	0.32	EMPTY
GE1106143	0.334	EMPTY
GE1106161	1.104	GOOD
GE1106171	0.34	EMPTY
GE1106172	13.298	GOOD
GE1106184	3.579	GOOD
GE1106195	0.956	GOOD
GE1106196	0.045	EMPTY
GE1106198	8.844	GOOD
GE1106203	0.1	EMPTY
GE1106204	0.158	EMPTY
GE1106226	0.503	GOOD
GE1106233	0.243	EMPTY
GE1106240	0.013	EMPTY
GE1106247	0.207	EMPTY
GE1106248	0.227	EMPTY
GE1106251	0.123	EMPTY
GE1106253	0.052	EMPTY
GE1106255	1.45	GOOD
GE1106264	0.553	GOOD
GE1106278	0.55	GOOD
GE1106290	6.93	GOOD
GE1106291	0.23	EMPTY
GE1106299	1.229	GOOD
GE1106315	0.842	GOOD
GE1106324	-0.001	NEGATIVE
GE1106331	0.674	GOOD
GE1106335	59.403	GOOD
GE1106337	0.348	EMPTY
GE1106366	0.544	GOOD
GE1106373	0.436	GOOD
GE1106402	0.266	EMPTY
GE1106419	9.063	GOOD
GE1106431	0.62	GOOD
GE1106449	0.88	GOOD
GE1106460	11.598	GOOD
GE1106461	0.228	EMPTY
GE1106479	5.19	GOOD
GE1106481	0.183	EMPTY
GE1106495	0.141	EMPTY
GE1106528	0.518	GOOD
GE1106531	0.207	EMPTY
GE1106539	0.143	EMPTY
GE1106544	1.285	GOOD
GE1106563	61.653	GOOD
GE1106566	0.234	EMPTY
GE1106583	1.194	GOOD
GE1106586	46.197	GOOD
GE1106588	0.795	GOOD
GE1106589	0.115	EMPTY
GE1106598	12.837	POOR
GE1106623	0.228	EMPTY
GE1106624	0.446	GOOD
GE1106625	0.101	EMPTY
GE1106637	7.705	GOOD
GE1106639	0.396	EMPTY
GE1106647	0.201	EMPTY
GE1106648	0.227	EMPTY
GE1106665	0.316	EMPTY
GE1106666	0.707	GOOD
GE1106672	1.785	GOOD
GE1106673	0.275	EMPTY
GE1106674	0.892	GOOD
GE1106689	0.595	GOOD
GE1106696	3.906	GOOD
GE1106702	0.125	EMPTY
GE1106708	0.051	EMPTY
GE1106716	4.091	GOOD
GE1106720	0.165	EMPTY
GE1106725	0.085	EMPTY
GE1106740	7.971	GOOD
GE1106749	15.343	GOOD
GE1106758	6.787	GOOD
GE1106773	2.346	GOOD
GE1106781	1.118	GOOD
GE1106789	0.349	EMPTY
GE1106815	0.186	EMPTY
GE1106842	3.127	GOOD
GE1106860	1.031	GOOD
GE1106863	0.3	EMPTY
GE1106865	0.652	GOOD
GE1106878	0.188	EMPTY
GE1106902	0.103	EMPTY
GE1106909	0.141	EMPTY
GE1106916	4.317	GOOD
GE1106921	0.393	EMPTY
GE1106932	0.859	GOOD
GE1106941	1.244	GOOD
GE1106947	0.469	GOOD
GE1106954	0.038	EMPTY
GE1106957	13.414	GOOD
GE1106970	0.208	EMPTY
GE1106978	0.147	EMPTY
GE1106980	0.827	GOOD
GE1106982	0.12	EMPTY
GE1106984	0.104	EMPTY
GE1106985	2.664	GOOD
GE1106989	0.877	GOOD
GE1106993	0.157	EMPTY
GE1107002	0.312	EMPTY
GE1107018	0.275	EMPTY
GE1107021	1.042	GOOD
GE1107030	20.055	GOOD
GE1107042	1.358	GOOD
GE1107046	0.235	EMPTY
GE1107050	0.897	GOOD
GE1107051	0.066	EMPTY
GE1107067	0.155	EMPTY
GE1107077	0.011	EMPTY
GE1107094	37.03	GOOD
GE1107095	0.36	EMPTY
GE1107106	1.52	GOOD
GE1107120	0.592	GOOD
GE1107125	7.867	GOOD
GE1107127	0.862	GOOD
GE1107130	2.645	GOOD
GE1107131	0.151	EMPTY
GE1107133	0.082	EMPTY
GE1107168	3.751	GOOD
GE1107194	1.179	GOOD
GE1107206	1.706	GOOD
GE1107211	3.634	GOOD
GE1107213	7.754	GOOD
GE1107218	0.229	EMPTY
GE1107262	7.668	GOOD
GE1107269	0.67	GOOD
GE1107275	5.006	GOOD
GE1107284	-0.001	NEGATIVE
GE1107289	4.866	GOOD
GE1107290	4.893	GOOD
GE1107294	-0.025	NEGATIVE
GE1107302	2.041	GOOD
GE1107314	0.203	EMPTY
GE1107316	0.653	GOOD
GE1107324	4.722	GOOD
GE1107344	0.803	GOOD
GE1107345	0.658	GOOD
GE1107376	0.249	EMPTY
GE1107378	15.928	GOOD
GE1107388	0.111	EMPTY
GE1107390	0.064	EMPTY
GE1107395	0.023	EMPTY
GE1107396	1.19	GOOD
GE1107399	3.043	GOOD
GE1107403	0.781	GOOD
GE1107415	0.875	GOOD
GE1107435	1.151	GOOD
GE1107445	0.336	EMPTY
GE1107450	1.004	GOOD
GE1107451	2.724	GOOD
GE1107452	1.214	GOOD
GE1107454	0.195	EMPTY
GE1107457	10.747	GOOD
GE1107464	0.296	EMPTY
GE1107472	1.199	GOOD
GE1107475	0.306	EMPTY
GE1107493	6.062	GOOD
GE1107509	0.005	EMPTY
GE1107517	0.23	EMPTY
GE1107523	0.062	EMPTY
GE1107543	33.859	GOOD
GE1107545	0.137	EMPTY
GE1107552	2.151	GOOD
GE1107565	32.286	GOOD
GE1107570	0.359	EMPTY
GE1107575	38.494	GOOD
GE1107583	0.261	EMPTY
GE1107602	1.474	GOOD
GE1107613	0.27	EMPTY
GE1107615	2.29	GOOD
GE1107629	0.709	GOOD
GE1107634	0.251	EMPTY
GE1107638	0.82	GOOD
