Symbol	Vehicle_2_17_norm
4930593A02Rik	8.796812956
4930594C11Rik	7.165780807
4930596I21Rik	9.593529358
4931403G20Rik	5.046041562
4931406C07Rik	15.32966386
4931406P16Rik	10.90497893
4931408D14Rik	8.145296776
4931414P19Rik	8.389995964
4931428F04Rik	6.872225407
4931430N09Rik	9.107153077
4931431C16Rik	7.073522299
4932414N04Rik	7.046041562
4932416H05Rik	6.960311688
4932438A13Rik	11.96994039
4933404O12Rik	8.707545618
4933406J08Rik	6.631004063
4933407K13Rik	9.175324579
4933409G03Rik	7.545274189
4933409K07Rik	6.55505521
4933411K20Rik	10.3610169
4933412E12Rik	8.789688069
4933415F23Rik	6.018027186
4933417G07Rik	6.915457453
4933421O10Rik	8.535426403
4933426M11Rik	13.16697724
4933427D14Rik	9.209787989
4933431E20Rik	9.945514686
4933434E20Rik	10.65591251
4933439C10Rik	7.584006584
5031414D18Rik	8.209787989
5031425E22Rik	9.525510934
5031439G07Rik	11.65166353
5330417C22Rik	8.328595419
5330426P16Rik	7.584006584
5430416N02Rik	6.649382592
5430416O09Rik	6.631004063
5430417L22Rik	10.06499067
5430419D17Rik	7.25249244
5430421F17Rik	7.422417441
5430427O19Rik	7.311386129
5430435G22Rik	7.525510934
5530601H04Rik	7.8691638
5730455P16Rik	10.46972316
5730480H06Rik	6.631004063
5730507C01Rik	7.653933696
5730508B09Rik	8.520527527
5730559C18Rik	9.184805632
5830415F09Rik	8.066701033
5830417I10Rik	9.231298218
5830418K08Rik	9.518029353
5830454E08Rik	8.672031331
5830473C10Rik	6.853396484
5930403L14Rik	10.9417916
5930412G12Rik	6.367969657
5930438M14Rik	6.203582839
6030419C18Rik	5.900190696
6030458C11Rik	10.03559982
6330408A02Rik	8.328595419
6330410L21Rik	7.046041562
6330416G13Rik	10.03734536
6330549D23Rik	7.763454359
6430548M08Rik	9.459546896
6430550D23Rik	6.853396484
6430571L13Rik	6.78854534
6430573F11Rik	7.821335275
6530402F18Rik	7.938058882
6720468P15Rik	9.231298218
6820431F20Rik	13.07330962
8030462N17Rik	9.30849785
8430408G22Rik	5.345601844
8430419L09Rik	10.72064128
8430429K09Rik	7.016571243
9030025P20Rik	8.833441878
9030617O03Rik	12.00023787
9030619P08Rik	10.21750708
9030624G23Rik	5.8691638
9030624J02Rik	11.64423725
9130008F23Rik	6.75499278
9130011E15Rik	9.591154551
9130019O22Rik	7.215966564
9130023H24Rik	8.28811635
9130024F11Rik	6.720641276
9130221H12Rik	8.25849118
9130401M01Rik	8.750743307
9230102O04Rik	6.276339182
9230105E05Rik	5.930564345
9230110C19Rik	8.737919267
9230114K14Rik	7.046041562
9330020H09Rik	6.649382592
9330133O14Rik	7.892496304
9330151L19Rik	8.203582839
9430008C03Rik	8.62306112
9430015G10Rik	8.849405685
9430016H08Rik	10.04083014
9430020K01Rik	10.13513549
9430038I01Rik	7.018027186
9430041J12Rik	6.78854534
9430083A17Rik	5.55505521
9430091E24Rik	7.299610475
9530026F06Rik	6.299798155
9530053A07Rik	7.443633927
9530068E07Rik	13.43289893
9530077C05Rik	7.389995964
9530082P21Rik	10.57562228
9630033F20Rik	9.039088802
9830147E19Rik	8.059847362
9930012K11Rik	6.771866599
9930014A18Rik	7.433064686
9930021J03Rik	10.86720228
9930104L06Rik	8.184805632
9930111J21Rik1	7.989458034
A130010J15Rik	9.021521588
A130077B15Rik	11.47810157
A1cf	10.83243687
A230046K03Rik	11.47424066
A230050P20Rik	9.090435682
A2m	9.24948369
A330021E22Rik	9.454126301
A330023F24Rik	10.17056058
A330032B11Rik	7.018027186
A330033J07Rik	6.535426403
A330035P11Rik	7.8691638
A330040F15Rik	7.28811635
A430005L14Rik	10.02480833
A430033K04Rik	8.569603518
A430035B10Rik	7.100489346
A430078G23Rik	7.938058882
A430089I19Rik	6.930564345
A430105I19Rik	8.45934401
A430107P09Rik	7.018027186
A4galt	9.791567844
A4gnt	8.809126218
A530016L24Rik	7.545274189
A530032D15Rik	6.75499278
A530054K11Rik	8.949228189
A630001G21Rik	6.55505521
A630007B06Rik	9.461945805
A630020A06	6.853396484
A630023A22Rik	6.276339182
A630066F11Rik	6.100489346
A630072M18Rik	8.146501744
A630076J17Rik	6.667529939
A630089N07Rik	10.30415456
A730006G06Rik	6.454126301
A730008H23Rik	5.737919267
A730017L22Rik	10.21750708
A730098P11Rik	12.06370656
A830010M20Rik	6.689726999
A830018L16Rik	7.355765329
A830080D01Rik	8.845447731
